"Date","Price","Open","High","Low","Vol.","Change %"
"08/22/2024","773.47","782.59","783.89","768.48","950.99M","-0.82%"
"08/21/2024","779.87","783.98","784.92","775.30","1.07B","-0.96%"
"08/20/2024","787.44","783.73","787.95","783.35","997.06M","1.28%"
"08/19/2024","777.47","787.32","788.79","776.71","1.14B","-1.13%"
"08/16/2024","786.33","787.34","788.86","783.88","1.08B","1.22%"
"08/14/2024","776.83","775.11","778.66","774.17","1.11B","1.56%"
"08/13/2024","764.86","771.98","773.90","757.19","1.17B","-1.02%"
"08/12/2024","772.72","767.21","775.31","767.21","885.11M","1.08%"
"08/09/2024","764.43","759.91","768.21","759.91","843.85M","2.57%"
"08/08/2024","745.28","738.29","751.51","732.74","1.01B","-0.44%"
"08/07/2024","748.54","731.82","754.41","731.44","947.16M","2.14%"
"08/06/2024","732.87","709.04","738.77","707.72","1.08B","6.02%"
"08/05/2024","691.28","765.57","765.57","672.57","1.17B","-11.30%"
"08/02/2024","779.33","799.45","799.97","778.39","845.79M","-4.20%"
"08/01/2024","813.53","807.52","815.28","807.50","644.08M","1.29%"
"07/31/2024","803.15","802.00","804.17","795.18","798.87M","-0.08%"
"07/30/2024","803.78","805.17","807.38","800.36","842.01M","-0.52%"
"07/29/2024","807.99","800.64","808.73","800.39","652.99M","1.31%"
"07/26/2024","797.56","799.97","802.06","795.02","777.35M","0.03%"
"07/25/2024","797.29","802.28","803.55","794.23","1.03B","-2.08%"
"07/24/2024","814.25","809.45","819.81","807.55","837.08M","0.26%"
"07/23/2024","812.12","816.30","821.93","808.79","939.60M","0.27%"
"07/22/2024","809.96","827.98","828.09","806.79","906.83M","-2.26%"
"07/19/2024","828.72","820.29","828.82","819.13","871.20M","0.76%"
"07/18/2024","822.48","820.14","824.96","812.90","869.76M","-0.84%"
"07/17/2024","829.41","841.28","843.10","829.09","828.95M","-1.21%"
"07/16/2024","839.61","850.96","851.20","837.29","874.49M","-1.56%"
"07/15/2024","852.88","852.62","852.93","847.68","785.85M","0.30%"
"07/12/2024","850.37","848.04","855.03","845.03","764.43M","-0.24%"
"07/11/2024","852.42","861.73","862.61","851.72","835.02M","-0.71%"
"07/10/2024","858.55","859.01","860.82","854.60","896.44M","-0.22%"
"07/09/2024","860.42","860.18","864.11","857.60","1.05B","0.13%"
"07/08/2024","859.27","848.59","859.27","848.59","742.51M","1.39%"
"07/05/2024","847.49","842.50","849.25","841.98","780.46M","0.79%"
"07/04/2024","840.81","838.90","844.10","838.90","744.76M","0.56%"
"07/03/2024","836.10","832.98","838.89","829.50","788.69M","0.75%"
"07/02/2024","829.91","846.86","847.39","828.49","710.21M","-2.04%"
"07/01/2024","847.15","840.59","847.97","840.40","620.76M","0.80%"
"06/28/2024","840.44","840.11","842.36","838.29","706.93M","0.21%"
"06/27/2024","838.65","841.12","844.62","837.80","814.04M","-0.41%"
"06/26/2024","842.12","845.91","846.76","839.34","704.56M","0.02%"
"06/25/2024","841.99","839.50","844.54","836.12","663.21M","0.06%"
"06/24/2024","841.52","852.27","852.48","841.43","670.00M","-1.31%"
"06/21/2024","852.67","853.48","856.02","848.50","772.54M","-0.56%"
"06/20/2024","857.51","861.44","864.70","854.94","637.74M","-0.43%"
"06/19/2024","861.17","860.66","866.21","856.16","1.03B","0.26%"
"06/18/2024","858.95","863.32","864.81","855.35","1.04B","0.00%"
"06/17/2024","858.96","860.13","864.10","857.11","820.23M","-0.37%"
"06/14/2024","862.19","872.69","873.37","859.69","975.48M","-1.05%"
"06/13/2024","871.33","879.52","879.52","871.12","928.80M","0.08%"
"06/12/2024","870.67","871.36","876.45","867.32","1.22B","0.27%"
"06/11/2024","868.36","866.88","872.36","865.91","1.04B","0.42%"
"06/10/2024","864.71","862.21","867.60","860.90","907.18M","-0.17%"
"06/07/2024","866.18","856.17","866.48","855.06","848.54M","1.81%"
"06/05/2024","850.75","849.33","852.18","844.13","904.88M","0.58%"
"06/04/2024","845.84","844.62","851.49","841.81","911.01M","0.13%"
"06/03/2024","844.72","840.33","847.07","839.58","976.80M","0.56%"
"05/31/2024","839.98","835.01","840.02","829.81","1.45B","0.96%"
"05/30/2024","831.99","835.63","840.74","831.02","1.41B","-0.77%"
"05/29/2024","838.45","849.60","849.93","838.08","1.38B","-1.48%"
"05/28/2024","851.01","847.46","852.42","846.90","1.15B","0.36%"
"05/27/2024","847.99","843.76","848.13","836.65","981.44M","1.02%"
"05/24/2024","839.41","840.70","845.48","836.95","816.03M","-0.85%"
"05/23/2024","846.58","846.50","849.32","839.16","1.01B","0.10%"
"05/22/2024","845.72","850.40","850.59","844.97","914.52M","-0.09%"
"05/21/2024","846.51","849.32","849.32","843.62","1.07B","-0.07%"
"05/20/2024","847.08","856.22","857.51","843.22","1.02B","-0.93%"
"05/17/2024","855.06","869.06","869.60","854.47","938.50M","-1.76%"
"05/16/2024","870.37","872.31","874.86","868.51","956.09M","0.95%"
"05/14/2024","862.15","857.44","865.43","856.88","978.60M","0.90%"
"05/13/2024","854.43","866.67","867.08","852.75","907.15M","-1.13%"
"05/10/2024","864.16","873.56","875.21","864.03","961.25M","-0.69%"
"05/09/2024","870.15","871.17","873.53","869.00","1.02B","-0.26%"
"05/08/2024","872.42","870.11","873.65","862.81","967.42M","0.13%"
"05/07/2024","871.26","874.69","876.94","869.75","802.23M","0.66%"
"05/03/2024","865.59","872.27","875.11","865.21","843.08M","-0.22%"
"05/02/2024","867.48","865.78","870.33","864.98","854.45M","-0.17%"
"04/30/2024","868.93","872.08","875.64","867.32","792.64M","-0.09%"
"04/29/2024","869.72","860.53","869.73","860.53","772.59M","1.51%"
"04/26/2024","856.82","860.00","862.80","852.80","704.66M","0.42%"
"04/25/2024","853.26","855.78","865.15","853.13","811.57M","-1.04%"
"04/24/2024","862.23","856.37","863.12","855.79","957.92M","1.99%"
"04/23/2024","845.44","848.88","853.62","844.50","886.59M","-0.04%"
"04/22/2024","845.82","844.95","854.16","840.29","898.76M","0.46%"
"04/19/2024","841.91","849.99","850.07","824.99","1.10B","-1.61%"
"04/18/2024","855.65","833.38","856.05","833.38","956.76M","2.72%"
"04/17/2024","833.03","839.30","845.45","833.03","930.98M","0.03%"
"04/16/2024","832.81","845.54","848.24","829.76","931.17M","-2.30%"
"04/15/2024","852.42","850.21","854.51","842.84","837.14M","-0.94%"
"04/12/2024","860.47","863.16","867.01","858.24","740.52M","0.28%"
"04/11/2024","858.10","850.80","860.83","847.54","661.66M","-0.14%"
"04/09/2024","859.33","864.00","871.18","856.49","976.47M","-0.14%"
"04/08/2024","860.57","873.76","873.76","859.09","1.06B","-1.34%"
"04/05/2024","872.29","872.47","879.34","867.45","1.08B","-1.20%"
"04/04/2024","882.90","885.53","889.70","878.12","979.42M","0.33%"
"04/03/2024","879.96","883.22","883.95","874.77","994.52M","-1.30%"
"04/02/2024","891.59","912.07","913.79","888.88","1.04B","-2.29%"
"04/01/2024","912.45","909.62","920.05","907.48","914.27M","0.77%"
"03/29/2024","905.50","912.31","914.25","903.61","946.87M","-0.50%"
"03/28/2024","910.05","912.33","914.38","908.98","1.10B","-0.13%"
"03/27/2024","911.25","914.33","918.49","905.26","1.14B","-0.53%"
"03/26/2024","916.09","915.49","922.57","910.86","1.04B","0.26%"
"03/25/2024","913.69","906.45","916.01","905.70","961.28M","1.07%"
"03/22/2024","903.98","902.70","905.64","900.84","1.08B","-0.03%"
"03/21/2024","904.29","900.46","906.26","899.24","1.07B","1.44%"
"03/20/2024","891.45","894.34","896.44","890.00","1.05B","-0.05%"
"03/19/2024","891.91","893.49","893.49","884.45","1.10B","-0.29%"
"03/18/2024","894.48","882.58","894.48","882.58","973.18M","1.59%"
"03/15/2024","880.46","882.67","884.60","875.87","1.11B","-0.80%"
"03/14/2024","887.52","889.53","892.31","881.95","1.07B","-0.27%"
"03/13/2024","889.93","892.41","894.39","881.33","1.21B","0.02%"
"03/12/2024","889.71","877.37","889.71","876.62","1.06B","1.57%"
"03/11/2024","875.93","870.41","875.93","868.48","1.08B","0.31%"
"03/08/2024","873.18","869.18","873.18","866.18","1.27B","1.14%"
"03/07/2024","863.37","874.30","874.53","860.01","1.14B","-0.84%"
"03/06/2024","870.67","861.67","872.06","859.71","1.11B","0.50%"
"03/05/2024","866.37","869.36","869.36","863.40","1.21B","-0.76%"
"03/04/2024","872.97","869.36","875.30","869.36","1.14B","1.16%"
"02/29/2024","862.96","862.55","865.88","858.30","1.37B","-0.05%"
"02/28/2024","863.39","859.78","868.71","858.56","1.10B","1.13%"
"02/27/2024","853.75","870.10","870.10","850.77","1.19B","-1.57%"
"02/26/2024","867.40","869.08","872.52","866.43","1.22B","-0.13%"
"02/23/2024","868.57","873.21","875.58","866.22","1.49B","-0.18%"
"02/22/2024","870.11","868.22","871.46","864.56","1.48B","0.70%"
"02/21/2024","864.07","861.58","872.38","860.91","1.73B","-0.24%"
"02/20/2024","866.17","858.08","866.17","854.58","1.39B","0.90%"
"02/19/2024","858.47","854.28","862.08","853.52","1.27B","0.10%"